TA_CODE;yeni_ulke;NEW_TA_CODE;sacma_ta_code
ge80093495;AM;am80091699;us00001165
ge80121130;AM;am80091737;us00001166
ge80087713;AM;am80091969;us00001167
ge80094554;AM;am80091874;us00001168
ge80087065;AM;am80091698;us00001169
ge80128162;AM;am80091680;us00001170
ge80040489;AM;am80091780;us00001171
ge80116502;AM;am00711772;us00001172
ge80068211;AM;am80091853;us00001173
ge80114335;AM;am80091755;us00001174
ge80126858;AM;am80091797;us00001175
ge80130768;AM;am80088643;us00001176
ge80070704;AM;am80091929;us00001177
ge80128058;AM;am80091945;us00001178
ge80093506;AM;am00702573;us00001179
ge80075569;AM;am80091894;us00001180
ge80110762;AM;am80091779;us00001181
ge80130225;AM;am80091848;us00001182
ge80107818;AM;am80091691;us00001183
ge80005327;AM;am00751988;us00001184
ge80130735;AM;am80091885;us00001185
ge80087070;AM;am80091728;us00001186
ge80108757;AM;am80091851;us00001187
ge80112098;AM;am80091886;us00001188
ge80112837;AM;am80091968;us00001189
ge80112833;AM;am80091967;us00001190
ge80107866;AM;am80091732;us00001191
ge80109194;AM;am80091877;us00001192
ge80122317;AM;am80069848;us00001193
ge80126969;AM;am80091813;us00001194
ge80131177;AM;am80091940;us00001195
ge80051078;AM;am80091692;us00001196
ge80129274;AM;am80055975;us00001197
ge80087345;AM;am80091854;us00001198
ge80000226;AM;am80091746;us00001199
ge80126664;AM;am80091756;us00001200
ge80073188;AM;am80091731;us00001201
ge80064148;AM;am80091832;us00001202
ge80107398;AM;am80091921;us00001203
ge80070764;AM;am80091944;us00001204
ge80069661;AM;am80091684;us00001205
ge80129373;AM;am80091693;us00001206
ge80093905;AM;am80069824;us00001207
ge80000412;AM;am80091775;us00001208
ge80101968;AM;am00708540;us00001209
ge80006636;AM;am00759976;us00001210
ge80009092;AM;am80091975;us00001211
ge80005024;AM;am00751367;us00001212
ge80002181;AM;am80091876;us00001213
ge80009066;AM;am80091974;us00001214
ge80006165;AM;am00759668;us00001215
ge80007882;AM;am80091896;us00001216
ge80002567;AM;am80091896;us00001217
ge80120910;AM;am80091675;us00001218
ge80096260;AM;am80091674;us00001219
ge80121121;AM;am00702576;us00001220
ge80000192;AM;am80091723;us00001221
ge80011519;AM;am80082858;us00001222
ge80069733;AM;am80091724;us00001223
ge80069734;AM;am80091725;us00001224
ge80129412;AM;am80091726;us00001225
ge80069735;AM;am80091727;us00001226
ge80000193;AM;am80091722;us00001227
ge80012790;AM;am80091723;us00001228
ge80059068;AM;am00720206;us00001229
ge80089771;AM;am80091676;us00001230
ge80011549;AM;am80091767;us00001231
ge80070240;AM;am80091852;us00001232
ge80070716;AM;am00716937;us00001233
ge80070007;AM;am80091814;us00001234
ge80058810;AM;am80091855;us00001235
ge80036970;AM;am80091811;us00001236
ge80110036;AM;am80091970;us00001237
ge80040412;AM;am80091683;us00001238
ge80011737;AM;am80091829;us00001239
ge80110569;AM;am80091744;us00001240
ge80000553;AM;am80091790;us00001241
ge80000554;AM;am80091791;us00001242
ge80001040;AM;am80091820;us00001243
ge80001041;AM;am80091821;us00001244
ge80062627;AM;am00716428;us00001245
ge80130987;AM;am80091914;us00001246
ge80130988;AM;am80091915;us00001247
ge80070655;AM;am80091916;us00001248
ge80115828;AM;am80091834;us00001249
ge80109311;AM;am80091890;us00001250
ge80011241;AM;am00703502;us00001251
ge80069694;AM;am80091689;us00001252
ge80011568;AM;am80091776;us00001253
ge80072711;AM;am80091816;us00001254
ge80129110;AM;am80091956;us00001255
ge80129109;AM;am80091957;us00001256
ge80001030;AM;am80091818;us00001257
ge80001564;AM;am80091864;us00001258
ge80002304;AM;am80091887;us00001259
ge80110344;AM;am80091965;us00001260
ge80110020;AM;am80091966;us00001261
ge80043573;AM;am00720287;us00001262
ge80068324;AM;am00702700;us00001263
ge80071018;AM;am00704821;us00001264
ge80069629;AM;am80091672;us00001265
ge80000020;AM;am80091677;us00001266
ge80107703;AM;am80091678;us00001267
ge80069635;AM;am80091679;us00001268
ge80000111;AM;am80091688;us00001269
ge80124585;AM;am80069571;us00001270
ge80107828;AM;am80091694;us00001271
ge80022139;AM;am80091705;us00001272
ge80057138;AM;am80091709;us00001273
ge80070949;AM;am00702553;us00001274
ge80093502;AM;am00702557;us00001275
ge80000189;AM;am80091712;us00001276
ge80011516;AM;am00702562;us00001277
ge80061479;AM;am80091713;us00001278
ge80047381;AM;am80091713;us00001279
ge80000190;AM;am80091714;us00001280
ge80000191;AM;am00702564;us00001281
ge80018076;AM;am80091714;us00001282
ge80011518;AM;am80091714;us00001283
ge80126616;AM;am80091715;us00001284
ge80056224;AM;am80091716;us00001285
ge80075720;AM;am80091718;us00001286
ge80093504;AM;am80091717;us00001287
ge80107865;AM;am80091729;us00001288
ge80027207;AM;am80091707;us00001289
ge80121119;AM;am80091710;us00001290
ge80057141;AM;am80091711;us00001291
ge80064206;AM;am80091720;us00001292
ge80057142;AM;am80091719;us00001293
ge80057143;AM;am80091721;us00001294
ge80126440;AM;am80091730;us00001295
ge80110591;AM;am80069780;us00001296
ge80110592;AM;am80091749;us00001297
ge80107905;AM;am80091751;us00001298
ge80107906;AM;am80091750;us00001299
ge80114347;AM;am80091752;us00001300
ge80129476;AM;am80091761;us00001301
ge80110602;AM;am80091758;us00001302
ge80110604;AM;am80091759;us00001303
ge80110603;AM;am80091760;us00001304
ge80061541;AM;am80091765;us00001305
ge80070977;AM;am80091774;us00001306
ge80026006;AM;am00703499;us00001307
ge80070604;AM;am80091908;us00001308
ge80003159;AM;am80091953;us00001309
ge80000413;AM;am80091777;us00001310
ge80002139;AM;am80091869;us00001311
ge80128928;AR;ar80125709;us00001312
ge80013040;AR;ar80004519;us00001313
ge80045061;AT;at90022257;us00001314
ge80115831;AT;at90013072;us00001315
ge80115832;AT;at90013073;us00001316
ge80111106;AT;at80005967;us00001317
ge80069875;AU;au80007427;us00001318
ge80005586;AM;am00752751;us00001319
ge80014073;AZ;az80086786;us00001320
ge80108861;AZ;az80086734;us00001321
ge80003474;AZ;az00732504;us00001322
ge80005316;AZ;az80086860;us00001323
ge80004204;AZ;az80086856;us00001324
ge80021124;AZ;az80086861;us00001325
ge80024064;AZ;az80086863;us00001326
ge80021478;AZ;az80086862;us00001327
ge80133611;AE;ae81059058;us00001328
ge80123203;AE;ae80776010;us00001329
ge80123308;AE;ae80931910;us00001330
ge80035159;AE;ae81059038;us00001331
ge80133194;AE;ae80779948;us00001332
ge80093664;AE;ae81059033;us00001333
ge80004133;AM;am80091972;us00001334
ge80073480;AE;ae81059039;us00001335
ge80064627;AE;ae80118358;us00001336
ge80131719;AE;ae80903419;us00001337
ge80071291;AE;ae81059053;us00001338
ge80071533;AE;ae81059048;us00001339
ge80089769;AE;ae81059015;us00001340
ge80081389;AE;ae81059007;us00001341
ge80079661;AE;ae81059008;us00001342
ge80000030;AE;ae81059009;us00001343
ge80000031;AE;ae81059010;us00001344
ge80011471;AE;ae81059011;us00001345
ge80057536;AE;ae81059012;us00001346
ge80068110;AE;ae81059014;us00001347
ge80103180;AE;ae81059013;us00001348
ge80114186;AE;ae81059016;us00001349
ge80090116;AE;ae81059020;us00001350
ge80135529;AE;ae81059022;us00001351
ge80072553;AE;ae81059025;us00001352
ge80120980;AE;ae81059018;us00001353
ge80120981;AE;ae81059017;us00001354
ge80126542;AE;ae81059019;us00001355
ge80110434;AE;ae81059021;us00001356
ge80093795;AF;af80055617;us00001357
ge80131601;AF;af80053894;us00001358
ge80112749;AL;al80519181;us00001359
ge80040146;AM;am80091934;us00001360
ge80130893;AM;am80091903;us00001361
ge80108362;AM;am80091810;us00001362
ge80068125;AM;am80091733;us00001363
ge80087068;AM;am80091704;us00001364
ge80131383;AM;am80091962;us00001365
ge80006152;AM;am80091973;us00001366
ge80008844;AM;am80091973;us00001367
ge80005001;AM;am00753810;us00001368
ge80004695;AM;am80091971;us00001369
ge80016120;AM;am00754013;us00001370
ge80075608;AM;am00752500;us00001371
ge80073551;AM;am80091867;us00001372
ge80070122;AM;am00705847;us00001373
ge80026004;AM;am00703477;us00001374
ge80000113;AM;am80091687;us00001375
ge80129273;AM;am80088442;us00001376
ge80112028;AM;am80091873;us00001377
ge80030920;AM;am80091697;us00001378
ge80030919;AM;am80091696;us00001379
ge80075873;AM;am80091954;us00001380
ge80131722;AM;am00704436;us00001381
ge80131420;AM;am80091789;us00001382
ge80044186;AM;am80091800;us00001383
ge80128786;AM;am80091831;us00001384
ge80061614;AM;am80091786;us00001385
ge80064180;AM;am00716486;us00001386
ge80130638;AM;am00713121;us00001387
ge80126886;AM;am80091801;us00001388
ge80062410;AM;am80091880;us00001389
ge80044155;AM;am80091793;us00001390
ge80000499;AM;am80091785;us00001391
ge80126726;AM;am80091769;us00001392
ge80110386;AM;am80082715;us00001393
ge80064450;AM;am80091770;us00001394
ge80129430;AM;am80091741;us00001395
ge80126663;AM;am80091754;us00001396
ge80127664;AM;am80091878;us00001397
ge80129526;AM;am80091764;us00001398
ge80109643;AM;am80091930;us00001399
ge80126820;AM;am80091792;us00001400
ge80107872;AM;am80091735;us00001401
ge80109916;AM;am80091946;us00001402
ge80110979;AM;am80091803;us00001403
ge80130879;AM;am80091899;us00001404
ge80127189;AM;am80091842;us00001405
ge80064222;AM;am00703501;us00001406
ge80112156;AM;am80091888;us00001407
ge80126543;AM;am80091686;us00001408
ge80127799;AM;am80091910;us00001409
ge80107904;AM;am80091748;us00001410
ge80117486;AM;am80091938;us00001411
ge80129422;AM;am80082881;us00001412
ge80126614;AM;am80091708;us00001413
ge80125092;AM;am00715427;us00001414
ge80129250;AM;am00700890;us00001415
ge80127667;AM;am80074135;us00001416
ge80111362;AM;am80091830;us00001417
ge80061320;AM;am80091807;us00001418
ge80111708;AM;am00709644;us00001419
ge80130998;AM;am80091917;us00001420
ge80127344;AM;am00711252;us00001421
ge80110474;AM;am80091690;us00001422
ge80130305;AM;am80091859;us00001423
ge80126611;AM;am80091734;us00001424
ge80108343;AM;am80091808;us00001425
ge80122693;AM;am80088078;us00001426
ge80090112;US;us84088364;us00001427
ge80129586;AM;am80091778;us00001428
ge80073158;AM;am00702106;us00001429
ge80111403;AM;am80091837;us00001430
ge80130901;AM;am00716042;us00001431
ge80127665;AM;am00713524;us00001432
ge80129427;AM;am80091740;us00001433
ge80112335;AM;am80091912;us00001434
ge80064116;AM;am80091742;us00001435
ge80126796;AM;am80091784;us00001436
ge80114332;AM;am80091753;us00001437
ge80130176;AM;am80091843;us00001438
ge80073778;AM;am80091882;us00001439
ge80129846;AM;am00705164;us00001440
ge80128040;AM;am80091943;us00001441
ge80130223;AM;am80091847;us00001442
ge80126899;AM;am80091804;us00001443
ge80127963;AM;am80091936;us00001444
ge80047476;AM;am80091862;us00001445
ge80127786;AM;am80091905;us00001446
ge80064117;AM;am80091743;us00001447
ge80130114;AM;am80088133;us00001448
ge80129397;AM;am80091700;us00001449
ge80129805;AM;am80091805;us00001450
ge80126605;AM;am80091702;us00001451
ge80127172;AM;am80091839;us00001452
ge80112428;AM;am80091927;us00001453
ge80114371;AM;am00703122;us00001454
ge80112297;AM;am80091901;us00001455
ge80127788;AM;am80091906;us00001456
ge80116067;AM;am80091857;us00001457
ge80126620;AM;am00702740;us00001458
ge80130158;AM;am80091840;us00001459
ge80126679;AM;am80091763;us00001460
ge80108306;AM;am80091806;us00001461
ge80062794;AM;am80091949;us00001462
ge80129426;AM;am00702837;us00001463
ge80129998;AM;am80091817;us00001464
ge80095056;AM;am80091947;us00001465
ge80114323;AM;am80091747;us00001466
ge80131390;AM;am80091963;us00001467
ge80110524;AM;am80091701;us00001468
ge80130291;AM;am80091856;us00001469
ge80073515;AM;am80091846;us00001470
ge80129763;AM;am80091799;us00001471
ge80110946;AM;am00704803;us00001472
ge80130130;AM;am80091838;us00001473
ge80114049;AM;am80091952;us00001474
ge80112746;AM;am00720031;us00001475
ge80112054;AM;am80091875;us00001476
ge80126622;AM;am80091736;us00001477
ge80130823;AM;am80091891;us00001478
ge80074010;AM;am80091933;us00001479
ge80131009;AM;am80091922;us00001480
ge80131134;AM;am80091932;us00001481
ge80127811;AM;am80091911;us00001482
ge80110926;AM;am80091798;us00001483
ge80130308;AM;am00707015;us00001484
ge80129580;AM;am80091773;us00001485
ge80110396;AM;am80091681;us00001486
ge80107504;AM;am80091849;us00001487
ge80081420;AM;am00702108;us00001488
ge80090033;AM;am80091768;us00001489
ge80129637;AM;am80091781;us00001490
ge80073058;AM;am80091951;us00001491
ge80126612;AM;am80091703;us00001492
ge80112087;AM;am80091884;us00001493
ge80130063;AM;am00705918;us00001494
ge80131149;AM;am80091935;us00001495
ge80109204;AM;am80091881;us00001496
ge80127731;AM;am80091889;us00001497
ge80130126;AM;am00706167;us00001498
ge80047479;AM;am00711758;us00001499
ge80090113;AB;ab00709211;us00001500
ge80111443;AM;am80091841;us00001501
ge80110601;AM;am80091757;us00001502
ge80128131;AM;am80091964;us00001503
ge80068159;AM;am80091809;us00001504
ge80073910;AM;am80091897;us00001505
ge80109965;AM;am80091958;us00001506
ge80127136;AM;am80091833;us00001507
ge80131319;AM;am80091948;us00001508
ge80070480;AM;am80091883;us00001509
ge80068130;AM;am80091766;us00001510
ge80064124;AM;am80091772;us00001511
ge80130659;AM;am80091872;us00001512
ge80130019;AM;am80091819;us00001513
ge80130023;AM;am80091822;us00001514
ge80071350;AM;am80091771;us00001515
ge80073363;AM;am80091812;us00001516
ge80126529;AM;am80091685;us00001517
ge80068139;AM;am80091782;us00001518
ge80112212;AM;am80091893;us00001519
ge80127355;AM;am80091866;us00001520
ge80127224;AM;am00706618;us00001521
ge80111631;AM;am00707106;us00001522
ge80064175;AM;am80091900;us00001523
ge80071119;AM;am80091861;us00001524
ge80109149;AM;am80091871;us00001525
ge80130897;AM;am80091907;us00001526
ge80109441;AM;am80091909;us00001527
ge80129486;AM;am80091762;us00001528
ge80128682;AM;am80091787;us00001529
ge80131077;AM;am80091928;us00001530
ge80070479;AM;am80091883;us00001531
ge80126515;AM;am80091682;us00001532
ge80131362;AM;am80091959;us00001533
ge80131322;AM;am80091950;us00001534
ge80127299;AM;am80091860;us00001535
ge80068190;AM;am80091836;us00001536
ge80123238;AM;am80091904;us00001537
ge80109999;AM;am80069975;us00001538
ge80040439;AM;am80091738;us00001539
ge80108439;AM;am80091815;us00001540
ge80087312;AM;am80091845;us00001541
ge80043515;AM;am80091919;us00001542
ge80094669;AM;am80091892;us00001543
ge80080178;AM;am00720278;us00001544
ge80034547;UA;ua80296156;us00001545
ge80111005;UA;ua80264424;us00001546
ge80112228;UA;ua80296145;us00001547
ge80110988;UA;ua80296136;us00001548
ge80110987;UA;ua80296135;us00001549
ge80110910;UA;ua80129231;us00001550
ge80111021;UA;ua80296137;us00001551
ge80112523;UA;ua80296146;us00001552
ge80112154;UA;ua80296144;us00001553
ge80047272;UA;ua80296173;us00001554
ge80050058;UA;ua80296163;us00001555
ge80005917;UA;ua80296166;us00001556
ge80038544;UA;ua80296169;us00001557
ge80006485;UA;ua80296176;us00001558
ge80009585;UA;ua80296175;us00001559
ge80006263;UA;ua80296171;us00001560
ge80006515;UA;ua80296178;us00001561
ge80046817;UA;ua80296154;us00001562
ge80006264;UA;ua80296172;us00001563
ge80006065;UA;ua80296168;us00001564
ge80006162;UA;ua80296170;us00001565
ge80008847;UA;ua80296170;us00001566
ge80006688;UA;ua80296180;us00001567
ge80006507;UA;ua80296177;us00001568
ge80009944;UA;ua80296150;us00001569
ge80000303;UA;ua80296134;us00001570
ge80009336;UA;ua80296158;us00001571
ge80008257;UA;ua80296160;us00001572
ge80008259;UA;ua80296161;us00001573
ge80003946;UA;ua80296162;us00001574
ge80009984;UA;ua80296155;us00001575
ge80031772;AB;ab00709332;us00001576
ge12207762;UA;ua80296165;us00001577
ge80008975;UA;ua80296179;us00001578
ge80006639;UA;ua80296179;us00001579
ge80006322;UA;ua80296174;us00001580
ge80003067;UK;uk81043823;zz00000000
ge80000381;UK;uk81043799;zz00000001
ge80095092;UK;uk00150432;zz00000002
ge80006864;UK;uk81043832;zz00000003
ge80003242;UK;uk81043828;zz00000004
ge80071371;UK;uk81043806;zz00000005
ge80061431;UK;uk81043796;zz00000006
ge80070790;UK;uk81043822;zz00000007
ge80104432;UK;uk81043825;zz00000008
ge80009652;UK;uk81043797;zz00000009
ge80109583;UK;uk00022899;zz00000010
ge80073223;AB;ab00709114;zz00000011
ge80010944;UK;uk81043817;zz00000012
ge80077361;UK;uk80330891;zz00000013
ge80007984;UK;uk80047610;zz00000014
ge80002596;UK;uk80041581;zz00000015
ge80123333;UK;uk80786288;zz00000016
ge80001403;UK;uk81043811;zz00000017
ge80077457;UK;uk81043812;zz00000018
ge80069724;UK;uk00029834;zz00000019
ge80077736;UK;uk81043813;zz00000020
ge80077737;UK;uk81043814;zz00000021
ge80081699;UK;uk81043809;zz00000022
ge80081797;UK;uk81043810;zz00000023
ge80089745;UK;uk81043830;zz00000024
ge80117240;UK;uk80187591;zz00000025
ge80006743;UK;uk81043831;zz00000026
ge80007352;UK;uk81043805;zz00000027
ge80000623;UK;uk80092337;zz00000028
ge80008035;UK;uk81043820;zz00000029
ge80000415;UK;uk81043801;zz00000030
ge80076957;UK;uk81043804;zz00000031
ge80088211;UK;uk81043807;zz00000032
ge80002331;UK;uk81043816;zz00000033
ge80002324;UK;uk81043815;zz00000034
ge80053298;UK;uk81043824;zz00000035
ge80071572;UK;uk81043818;zz00000036
ge80074814;UK;uk80460172;zz00000037
ge80007277;UK;uk81043800;zz00000038
ge80000141;UK;uk81043798;zz00000039
ge80003110;UK;uk81043827;zz00000040
ge80081602;UK;uk81043803;zz00000041
ge80044755;UK;uk81043829;zz00000042
ge80009672;UK;uk81043802;zz00000043
ge80009716;UK;uk81043808;zz00000044
ge80032078;UK;uk81043819;zz00000045
ge80031536;UK;uk80238892;zz00000046
ge80002946;UK;uk81043821;zz00000047
ge80013489;UK;uk81043826;zz00000048
ge80027244;US;us84089736;zz00000049
ge80014340;US;us80014291;zz00000050
ge80014339;US;us80014290;zz00000051
ge80014318;US;us84088289;zz00000052
ge80014437;US;us84090592;zz00000053
ge80052808;US;us84092913;zz00000054
ge80099875;US;us80943062;zz00000055
ge80122294;US;us84091202;zz00000056
ge80123036;US;us82177405;zz00000057
ge80052690;US;us84092746;zz00000058
ge80136347;US;us84090420;zz00000059
ge80070453;US;us84092159;zz00000060
ge80098785;US;us10652958;zz00000061
ge80093602;US;us84089305;zz00000062
ge80051043;US;us84088440;zz00000063
ge80122474;US;us84091581;zz00000064
ge80123651;US;us82012834;zz00000065
ge80081385;US;us84088624;zz00000066
ge80099714;US;us00181702;zz00000067
ge80098442;US;us84090871;zz00000068
ge80098860;US;us84091378;zz00000069
ge80097072;US;us84089221;zz00000070
ge80097718;US;us84090069;zz00000071
ge80096819;US;us84088879;zz00000072
ge80099453;US;us84092099;zz00000073
ge80100326;US;us84093226;zz00000074
ge80098959;US;us84091548;zz00000075
ge80051040;US;us80884599;zz00000076
ge80101266;US;us84094411;zz00000077
ge80053122;US;us84094104;zz00000078
ge80096364;US;us84088365;zz00000079
ge80051873;US;us00109678;zz00000080
ge80072768;US;us00109500;zz00000081
ge80051899;US;us84091266;zz00000082
ge80051230;US;us00156930;zz00000083
ge80034106;US;us84092626;zz00000084
ge80100537;US;us84093502;zz00000085
ge80069960;US;us10449421;zz00000086
ge80090117;US;us00151744;zz00000087
ge80123443;US;us84093540;zz00000088
ge80058426;US;us84093123;zz00000089
ge80100234;US;us84093132;zz00000090
ge80099892;US;us00035741;zz00000091
ge80051100;US;us13690588;zz00000092
ge80051928;US;us84091365;zz00000093
ge80098923;US;us81640146;zz00000094
ge80044068;AB;ab00709075;zz00000095
ge80101496;US;us84094683;zz00000096
ge80096955;US;us84089058;zz00000097
ge80096962;US;us84089070;zz00000098
ge80135796;US;us84088975;zz00000099
ge80090427;US;us82737583;zz00000100
ge80100162;US;us84093038;zz00000101
ge80137876;US;us84093931;zz00000102
ge80020429;US;us00195123;zz00000103
ge80051943;US;us84091421;zz00000104
ge80053372;US;us81498180;zz00000105
ge80098580;US;us84091041;zz00000106
ge80136706;US;us84091215;zz00000107
ge80097349;US;us84089596;zz00000108
ge80136210;US;us84090074;zz00000109
ge80035402;AB;ab00709152;zz00000110
ge80100643;US;us13414186;zz00000111
ge80051256;US;us00064725;zz00000112
ge80051749;US;us84090711;zz00000113
ge80090138;US;us84088457;zz00000114
ge80097107;US;us84089269;zz00000115
ge80051534;US;us80907687;zz00000116
ge80098076;US;us00167591;zz00000117
ge80100348;US;us84093247;zz00000118
ge80099188;US;us84091821;zz00000119
ge80068387;US;us84089735;zz00000120
ge80101329;US;us84094474;zz00000121
ge80120893;US;us84088200;zz00000122
ge80014424;US;us84090495;zz00000123
ge80033481;AB;ab00709162;zz00000124
ge80044086;AB;ab00709110;zz00000125
ge80027316;US;us84090698;zz00000126
ge80136744;US;us84091288;zz00000127
ge80121433;US;us84089334;zz00000128
ge80052803;US;us84092888;zz00000129
ge80121247;US;us84088894;zz00000130
ge80052975;US;us84093590;zz00000131
ge80137183;US;us84092170;zz00000132
ge80137370;US;us84092707;zz00000133
ge80058441;US;us84093587;zz00000134
ge80051089;US;us84088606;zz00000135
ge80101235;US;us84094374;zz00000136
ge80014314;US;us84088226;zz00000137
ge80014338;US;us84088599;zz00000138
ge80121871;US;us84090377;zz00000139
ge80003233;US;us84095044;zz00000140
ge80099968;US;us84092849;zz00000141
ge80100043;US;us13798745;zz00000142
ge80096577;US;us84088608;zz00000143
ge80136055;US;us84089673;zz00000144
ge80052057;US;us84091765;zz00000145
ge80070510;US;us84092637;zz00000146
ge80137439;US;us84092875;zz00000147
ge80100215;US;us84093105;zz00000148
ge80052040;US;us84091698;zz00000149
ge80053022;US;us84093734;zz00000150
ge80100994;US;us84094065;zz00000151
ge80034140;AB;ab00709338;zz00000152
ge80069534;US;us80544299;zz00000153
ge80135527;US;us84088386;zz00000154
ge80099177;US;us84091810;zz00000155
ge80051837;US;us84091106;zz00000156
ge80052976;US;us13225015;zz00000157
ge80051836;US;us00109259;zz00000158
ge80052499;US;us84092307;zz00000159
ge80120919;US;us84088249;zz00000160
ge80099232;US;us84091878;zz00000161
ge80051414;US;us84089763;zz00000162
ge80052516;US;us84092375;zz00000163
ge80101070;US;us84094153;zz00000164
ge80014938;US;us84094882;zz00000165
ge80064329;US;us84091676;zz00000166
ge80035305;US;us84088363;zz00000167
ge80089935;US;us84092031;zz00000168
ge80136061;US;us82349792;zz00000169
ge80137732;US;us84093570;zz00000170
ge80051597;US;us84090357;zz00000171
ge80053039;US;us84093805;zz00000172
ge80052214;US;us84091970;zz00000173
ge80091271;US;us84093472;zz00000174
ge80097428;US;us84089689;zz00000175
ge80136510;US;us84090728;zz00000176
ge80122259;US;us84091152;zz00000177
ge80051490;US;us84090059;zz00000178
ge80052608;US;us84092563;zz00000179
ge80107497;US;us84090855;zz00000180
ge80123899;US;us84094688;zz00000181
ge80087568;AB;ab00709350;zz00000182
ge80100905;US;us84093952;zz00000183
ge80068109;US;us81585777;zz00000184
ge80054515;US;us84089441;zz00000185
ge80051277;US;us00070173;zz00000186
ge80051482;US;us84090030;zz00000187
ge80074959;AB;ab00702275;zz00000188
ge80075097;AB;ab00700336;zz00000189
ge80117867;AB;ab00701321;zz00000190
ge80085286;AB;ab00700234;zz00000191
ge80074958;AB;ab00700201;zz00000192
ge80117970;AB;ab00709468;zz00000193
ge80085255;AB;ab00702137;zz00000194
ge80085140;AB;ab00701179;zz00000195
ge80118624;AB;ab00709485;zz00000196
ge80075454;AB;ab00704766;zz00000197
ge80117765;AB;ab00706550;zz00000198
ge80075452;AB;ab00704672;zz00000199
ge80117912;AB;ab00700228;zz00000200
ge80086788;AB;ab00704557;zz00000201
ge80076227;AB;ab00700246;zz00000202
ge80117874;AB;ab00701400;zz00000203
ge80117998;AB;ab00700245;zz00000204
ge80076201;AB;ab00701553;zz00000205
ge80005578;AB;ab00709493;zz00000206
ge80005577;AB;ab00709492;zz00000207
ge80032374;AB;ab00705320;zz00000208
ge80085234;AB;ab00702020;zz00000209
ge80085249;AB;ab00702048;zz00000210
ge80085285;AB;ab00700233;zz00000211
ge80085208;AB;ab00701756;zz00000212
ge80085284;AB;ab00700232;zz00000213
ge80032207;AB;ab00700015;zz00000214
ge80006576;AB;ab00709517;zz00000215
ge80032436;AB;ab00702859;zz00000216
ge80005749;AB;ab00709497;zz00000217
ge80007008;AB;ab00709481;zz00000218
ge80008562;AB;ab00700366;zz00000219
ge80005545;AB;ab00700366;zz00000220
ge80003656;AB;ab00709467;zz00000221
ge80003616;AB;ab00709465;zz00000222
ge80128700;AB;ab00709170;zz00000223
ge80003677;AB;ab00702163;zz00000224
ge80005452;AB;ab00700431;zz00000225
ge80003661;AB;ab00702132;zz00000226
ge80005696;AB;ab00704097;zz00000227
ge80008420;AB;ab00703779;zz00000228
ge80004991;AB;ab00703779;zz00000229
ge12207160;AB;ab00703779;zz00000230
ge80006670;AB;ab00709520;zz00000231
ge80128718;AB;ab00709194;zz00000232
ge80033722;AB;ab00709243;zz00000233
ge80005144;AB;ab00703218;zz00000234
ge80003453;AB;ab00709462;zz00000235
ge80003452;AB;ab00709461;zz00000236
ge80057084;AB;ab00709515;zz00000237
ge80055648;AB;ab00709471;zz00000238
ge80005874;AB;ab00709502;zz00000239
ge12207097;AB;ab00709476;zz00000240
ge80010010;AB;ab00709476;zz00000241
ge80006325;AB;ab00709511;zz00000242
ge80008890;AB;ab00709511;zz00000243
ge80003774;AB;ab00709472;zz00000244
ge80006210;AB;ab00709510;zz00000245
ge80006577;AB;ab00709516;zz00000246
ge80032427;AB;ab00702731;zz00000247
ge80031169;AB;ab00709208;zz00000248
ge80097700;AB;ab00709168;zz00000249
ge80044045;AB;ab00709048;zz00000250
ge80034402;AB;ab00709417;zz00000251
ge80035333;AB;ab00709105;zz00000252
ge80033480;AB;ab00700645;zz00000253
ge80031098;AB;ab00709179;zz00000254
ge80035934;AB;ab00709398;zz00000255
ge80095076;AB;ab00709440;zz00000256
ge80031168;AB;ab00709207;zz00000257
ge80035298;AB;ab00709040;zz00000258
ge80035411;AB;ab00709169;zz00000259
ge80090623;AB;ab00709273;zz00000260
ge80034413;AB;ab00709425;zz00000261
ge80033498;AB;ab00709185;zz00000262
ge80035299;AB;ab00709049;zz00000263
ge80033554;AB;ab00709201;zz00000264
ge80034449;AB;ab00709436;zz00000265
ge80073360;AB;ab00709200;zz00000266
ge80090023;AB;ab00709104;zz00000267
ge80090015;AB;ab00709099;zz00000268
ge80034448;AB;ab00709435;zz00000269
ge80073861;AB;ab00709343;zz00000270
ge80116080;AB;ab00709292;zz00000271
ge80033343;AB;ab00709082;zz00000272
ge80035999;AB;ab00700779;zz00000273
ge80034414;AB;ab00709426;zz00000274
ge80116225;AB;ab00709298;zz00000275
ge80073647;AB;ab00709309;zz00000276
ge80102746;AB;ab00709439;zz00000277
ge80031988;AB;ab00709379;zz00000278
ge80034365;AB;ab00709396;zz00000279
ge80033732;AB;ab00700674;zz00000280
ge80033426;AB;ab00709124;zz00000281
ge80035973;AB;ab00709429;zz00000282
ge80035888;AB;ab00709365;zz00000283
ge80094894;AB;ab00709409;zz00000284
ge80031466;AB;ab00709294;zz00000285
ge80128234;AB;ab00709123;zz00000286
ge80117261;AB;ab00709389;zz00000287
ge80030861;AB;ab00709031;zz00000288
ge80033288;AB;ab00700599;zz00000289
ge80074484;AB;ab00709254;zz00000290
ge80093927;AB;ab00709236;zz00000291
ge80031984;AB;ab00709378;zz00000292
ge80031853;AB;ab00709341;zz00000293
ge80033054;AB;ab00704584;zz00000294
ge80032869;AB;ab00703872;zz00000295
ge80032608;AB;ab00703872;zz00000296
